cluster,band,central_frequency,boresight_position,beam_x_deg,beam_y_deg,beam_angle,date,nantennas_requested,overlap,region,beams_required
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018288849769604244,0.006442275193379142,-18.14192061007034,2023-05-15 19:37:05.389000,40,0.8,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018288849769604244,0.006442275193379142,-18.14192061007034,2023-05-15 19:37:05.389000,40,0.8,half_light,11
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.018288849769604244,0.006442275193379142,-18.14192061007034,2023-05-15 19:37:05.389000,40,0.8,twice_half_light_radius,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.01139962615035231,0.003273503404274492,-23.019880254137792,2023-05-15 19:37:05.389000,52,0.8,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.01139962615035231,0.003273503404274492,-23.019880254137792,2023-05-15 19:37:05.389000,52,0.8,half_light,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.01139962615035231,0.003273503404274492,-23.019880254137792,2023-05-15 19:37:05.389000,52,0.8,twice_half_light_radius,195
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00728361223935777,0.002611252178924536,-21.046595357146835,2023-05-15 19:37:05.389000,56,0.8,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00728361223935777,0.002611252178924536,-21.046595357146835,2023-05-15 19:37:05.389000,56,0.8,half_light,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00728361223935777,0.002611252178924536,-21.046595357146835,2023-05-15 19:37:05.389000,56,0.8,twice_half_light_radius,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004093343656980872,0.0021641671854277767,-16.182107514485452,2023-05-15 19:37:05.389000,60,0.8,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004093343656980872,0.0021641671854277767,-16.182107514485452,2023-05-15 19:37:05.389000,60,0.8,half_light,195
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004093343656980872,0.0021641671854277767,-16.182107514485452,2023-05-15 19:37:05.389000,60,0.8,twice_half_light_radius,781
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0034292598932035095,0.0013921902245542358,-14.010562167388414,2023-05-15 19:37:05.389000,64,0.8,core,3
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0034292598932035095,0.0013921902245542358,-14.010562167388414,2023-05-15 19:37:05.389000,64,0.8,half_light,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0034292598932035095,0.0013921902245542358,-14.010562167388414,2023-05-15 19:37:05.389000,64,0.8,twice_half_light_radius,1561
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.012456737096856902,0.004395436816988093,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.9,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.012456737096856902,0.004395436816988093,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.9,half_light,23
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.012456737096856902,0.004395436816988093,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.9,twice_half_light_radius,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006376369257188477,0.0022203901592507003,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.9,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006376369257188477,0.0022203901592507003,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.9,half_light,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006376369257188477,0.0022203901592507003,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.9,twice_half_light_radius,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004520528191314758,0.0017497255035806257,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.9,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004520528191314758,0.0017497255035806257,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.9,half_light,195
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.004520528191314758,0.0017497255035806257,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.9,twice_half_light_radius,781
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.002555791631208022,0.0014562913897046988,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.9,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.002555791631208022,0.0014562913897046988,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.9,half_light,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.002555791631208022,0.0014562913897046988,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.9,twice_half_light_radius,1561
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0021144987091925925,0.0009240868487149497,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.9,core,5
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0021144987091925925,0.0009240868487149497,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.9,half_light,781
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0021144987091925925,0.0009240868487149497,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.9,twice_half_light_radius,3125
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006228368548428444,0.0021977184084940437,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.95,core,1
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006228368548428444,0.0021977184084940437,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.95,half_light,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.006228368548428444,0.0021977184084940437,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.95,twice_half_light_radius,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0031881846285942345,0.001110195079625349,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.95,core,5
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0031881846285942345,0.001110195079625349,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.95,half_light,389
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0031881846285942345,0.001110195079625349,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.95,twice_half_light_radius,1561
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0022602640956573762,0.0008748627517903119,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.95,core,5
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0022602640956573762,0.0008748627517903119,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.95,half_light,781
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0022602640956573762,0.0008748627517903119,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.95,twice_half_light_radius,3125
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012778958156040095,0.0007281456948523486,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.95,core,9
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012778958156040095,0.0007281456948523486,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.95,half_light,1561
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012778958156040095,0.0007281456948523486,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.95,twice_half_light_radius,6249
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0010572493545962952,0.0004620434243574744,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.95,core,11
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0010572493545962952,0.0004620434243574744,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.95,half_light,3125
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0010572493545962952,0.0004620434243574744,-10.885928163396759,2023-05-15 19:37:05.389000,64,0.95,twice_half_light_radius,12499
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012456737096856775,0.00043954368169880475,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.99,core,11
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012456737096856775,0.00043954368169880475,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.99,half_light,3125
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0012456737096856775,0.00043954368169880475,-17.72144271767148,2023-05-15 19:37:05.389000,40,0.99,twice_half_light_radius,12499
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0006376369257188414,0.00022203901592506795,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.99,core,47
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0006376369257188414,0.00022203901592506795,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.99,half_light,12499
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0006376369257188414,0.00022203901592506795,-19.477855086510168,2023-05-15 19:37:05.389000,52,0.99,twice_half_light_radius,49999
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0004520528191314715,0.0001749725503580608,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.99,core,97
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0004520528191314715,0.0001749725503580608,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.99,half_light,24999
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.0004520528191314715,0.0001749725503580608,-18.84122101178618,2023-05-15 19:37:05.389000,56,0.99,twice_half_light_radius,49997
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00025557916312079956,0.00014562913897046858,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.99,core,195
NGC_6752,UHF,816000000.0,19:10:52.11 -59:59:04.40,0.00025557916312079956,0.00014562913897046858,-13.857258644429109,2023-05-15 19:37:05.389000,60,0.99,half_light,49997
