CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0017499225512791776
Beam_y_deg: 0.0012056377467336708
Beam_angle: -96.86720017302153
Overlap: 0.7
DATE: 2020-12-29 13:45:03
PROJECT: TRAPUM

Beam	RA	DEC
cfbf0127	21:40:23.74	-23:09:41.36
cfbf0128	21:40:24.94	-23:11:58.96
cfbf0129	21:40:23.63	-23:09:28.85
cfbf0130	21:40:19.47	-23:10:58.25
cfbf0131	21:40:19.36	-23:10:45.74
cfbf0132	21:40:19.58	-23:11:10.76
cfbf0133	21:40:19.25	-23:10:33.23
cfbf0134	21:40:19.69	-23:11:23.27
cfbf0135	21:40:19.14	-23:10:20.72
cfbf0136	21:40:19.80	-23:11:35.77
cfbf0137	21:40:19.03	-23:10:08.21
cfbf0138	21:40:19.90	-23:11:48.28
cfbf0139	21:40:18.92	-23:09:55.70
cfbf0140	21:40:20.01	-23:12:00.79
cfbf0141	21:40:18.81	-23:09:43.19
cfbf0142	21:40:24.88	-23:10:49.26
cfbf0143	21:40:24.77	-23:10:36.75
cfbf0144	21:40:24.99	-23:11:01.77
cfbf0145	21:40:24.66	-23:10:24.24
cfbf0146	21:40:25.10	-23:11:14.28
cfbf0147	21:40:24.55	-23:10:11.73
cfbf0148	21:40:25.21	-23:11:26.79
cfbf0149	21:40:24.44	-23:09:59.22
cfbf0150	21:40:25.32	-23:11:39.29
cfbf0151	21:40:24.33	-23:09:46.71
cfbf0152	21:40:25.43	-23:11:51.80
cfbf0153	21:40:24.23	-23:09:34.20
cfbf0154	21:40:18.87	-23:10:52.89
cfbf0155	21:40:18.98	-23:11:05.40
cfbf0156	21:40:18.76	-23:10:40.38
cfbf0157	21:40:19.09	-23:11:17.91
cfbf0158	21:40:18.65	-23:10:27.87
cfbf0159	21:40:19.20	-23:11:30.42
cfbf0160	21:40:18.54	-23:10:15.36
cfbf0161	21:40:19.31	-23:11:42.93
cfbf0162	21:40:18.44	-23:10:02.85
cfbf0163	21:40:19.42	-23:11:55.44
cfbf0164	21:40:18.33	-23:09:50.35
cfbf0165	21:40:19.53	-23:12:07.95
cfbf0166	21:40:18.22	-23:09:37.84
cfbf0167	21:40:25.37	-23:10:42.10
cfbf0168	21:40:25.48	-23:10:54.61
cfbf0169	21:40:25.26	-23:10:29.60
cfbf0170	21:40:25.59	-23:11:07.12
cfbf0171	21:40:25.15	-23:10:17.09
cfbf0172	21:40:25.70	-23:11:19.63
cfbf0173	21:40:25.04	-23:10:04.58
cfbf0174	21:40:25.80	-23:11:32.14
cfbf0175	21:40:24.93	-23:09:52.07
cfbf0176	21:40:25.91	-23:11:44.65
cfbf0177	21:40:24.82	-23:09:39.56
cfbf0178	21:40:26.02	-23:11:57.16
cfbf0179	21:40:24.71	-23:09:27.05
cfbf0180	21:40:18.39	-23:11:00.04
cfbf0181	21:40:18.28	-23:10:47.53
cfbf0182	21:40:18.49	-23:11:12.55
cfbf0183	21:40:18.17	-23:10:35.03
cfbf0184	21:40:18.60	-23:11:25.06
cfbf0185	21:40:18.06	-23:10:22.52
cfbf0186	21:40:18.71	-23:11:37.57
cfbf0187	21:40:17.95	-23:10:10.01
cfbf0188	21:40:18.82	-23:11:50.08
cfbf0189	21:40:17.84	-23:09:57.50
cfbf0190	21:40:18.93	-23:12:02.59
cfbf0191	21:40:17.73	-23:09:44.99
cfbf0192	21:40:25.96	-23:10:47.46
cfbf0193	21:40:25.85	-23:10:34.95
cfbf0194	21:40:26.07	-23:10:59.97
cfbf0195	21:40:25.74	-23:10:22.44
cfbf0196	21:40:26.18	-23:11:12.48
cfbf0197	21:40:25.64	-23:10:09.93
cfbf0198	21:40:26.29	-23:11:24.99
cfbf0199	21:40:25.53	-23:09:57.42
cfbf0200	21:40:26.40	-23:11:37.50
cfbf0201	21:40:25.42	-23:09:44.92
cfbf0202	21:40:26.51	-23:11:50.00
cfbf0203	21:40:25.31	-23:09:32.41
cfbf0204	21:40:17.79	-23:10:54.69
cfbf0205	21:40:17.90	-23:11:07.20
cfbf0206	21:40:17.68	-23:10:42.18
cfbf0207	21:40:18.01	-23:11:19.71
cfbf0208	21:40:17.57	-23:10:29.67
cfbf0209	21:40:18.12	-23:11:32.21
cfbf0210	21:40:17.46	-23:10:17.16
cfbf0211	21:40:18.23	-23:11:44.72
cfbf0212	21:40:17.35	-23:10:04.65
cfbf0213	21:40:18.34	-23:11:57.23
cfbf0214	21:40:17.24	-23:09:52.14
cfbf0215	21:40:26.45	-23:10:40.31
cfbf0216	21:40:26.56	-23:10:52.81
cfbf0217	21:40:26.34	-23:10:27.80
cfbf0218	21:40:26.67	-23:11:05.32
cfbf0219	21:40:26.23	-23:10:15.29
cfbf0220	21:40:26.78	-23:11:17.83
cfbf0221	21:40:26.12	-23:10:02.78
cfbf0222	21:40:26.89	-23:11:30.34
cfbf0223	21:40:26.01	-23:09:50.27
cfbf0224	21:40:27.00	-23:11:42.85
cfbf0225	21:40:25.90	-23:09:37.76
cfbf0226	21:40:17.30	-23:11:01.84
cfbf0227	21:40:17.19	-23:10:49.33
cfbf0228	21:40:17.41	-23:11:14.35
cfbf0229	21:40:17.08	-23:10:36.82
cfbf0230	21:40:17.52	-23:11:26.86
cfbf0231	21:40:16.98	-23:10:24.31
cfbf0232	21:40:17.63	-23:11:39.37
cfbf0233	21:40:16.87	-23:10:11.80
cfbf0234	21:40:17.74	-23:11:51.88
cfbf0235	21:40:16.76	-23:09:59.29
cfbf0236	21:40:27.05	-23:10:45.66
cfbf0237	21:40:26.94	-23:10:33.15
cfbf0238	21:40:27.16	-23:10:58.17
cfbf0239	21:40:26.83	-23:10:20.64
cfbf0240	21:40:27.26	-23:11:10.68
cfbf0241	21:40:26.72	-23:10:08.13
cfbf0242	21:40:27.37	-23:11:23.19
cfbf0243	21:40:26.61	-23:09:55.62
cfbf0244	21:40:27.48	-23:11:35.70
cfbf0245	21:40:26.50	-23:09:43.12
cfbf0246	21:40:16.71	-23:10:56.48
cfbf0247	21:40:16.82	-23:11:08.99
cfbf0248	21:40:16.60	-23:10:43.97
cfbf0249	21:40:16.93	-23:11:21.50
cfbf0250	21:40:16.49	-23:10:31.46
cfbf0251	21:40:17.03	-23:11:34.01
cfbf0252	21:40:16.38	-23:10:18.96
cfbf0253	21:40:17.14	-23:11:46.52
cfbf0254	21:40:16.27	-23:10:06.45
cfbf0255	21:40:16.16	-23:09:53.94
cfbf0256	21:40:27.53	-23:10:38.51
cfbf0257	21:40:27.64	-23:10:51.01
cfbf0258	21:40:27.42	-23:10:26.00
cfbf0259	21:40:27.75	-23:11:03.52
cfbf0260	21:40:27.31	-23:10:13.49
cfbf0261	21:40:27.86	-23:11:16.03
cfbf0262	21:40:27.20	-23:10:00.98
cfbf0263	21:40:27.97	-23:11:28.54
cfbf0264	21:40:27.10	-23:09:48.47
cfbf0265	21:40:28.08	-23:11:41.05
cfbf0266	21:40:16.22	-23:11:03.64
cfbf0267	21:40:16.11	-23:10:51.13
cfbf0268	21:40:16.33	-23:11:16.14
cfbf0269	21:40:16.00	-23:10:38.62
cfbf0270	21:40:16.44	-23:11:28.65
cfbf0271	21:40:15.89	-23:10:26.11
cfbf0272	21:40:16.55	-23:11:41.16
cfbf0273	21:40:15.78	-23:10:13.60
cfbf0274	21:40:28.13	-23:10:43.86
cfbf0275	21:40:28.02	-23:10:31.35
cfbf0276	21:40:28.24	-23:10:56.37
cfbf0277	21:40:27.91	-23:10:18.84
cfbf0278	21:40:28.35	-23:11:08.88
cfbf0279	21:40:27.80	-23:10:06.33
cfbf0280	21:40:28.46	-23:11:21.39
cfbf0281	21:40:27.69	-23:09:53.82
cfbf0282	21:40:15.73	-23:11:10.79
cfbf0283	21:40:15.84	-23:11:23.30
cfbf0284	21:40:15.95	-23:11:35.81
cfbf0285	21:40:28.51	-23:10:24.20
cfbf0286	21:40:28.40	-23:10:11.69
cfbf0287	21:40:28.29	-23:09:59.18
