CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.001243853353496198
Beam_y_deg: 0.0006649084890006459
Beam_angle: -10.812910169516986
Overlap: 0.9
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0127	21:40:19.16	-23:11:12.19
cfbf0128	21:40:25.54	-23:10:55.39
cfbf0129	21:40:18.52	-23:11:13.87
cfbf0130	21:40:26.17	-23:10:53.71
cfbf0131	21:40:17.88	-23:11:15.55
cfbf0132	21:40:21.52	-23:10:27.98
cfbf0133	21:40:22.16	-23:10:26.30
cfbf0134	21:40:20.88	-23:10:29.66
cfbf0135	21:40:22.79	-23:10:24.62
cfbf0136	21:40:20.24	-23:10:31.34
cfbf0137	21:40:23.43	-23:10:22.94
cfbf0138	21:40:19.61	-23:10:33.02
cfbf0139	21:40:24.07	-23:10:21.26
cfbf0140	21:40:18.97	-23:10:34.70
cfbf0141	21:40:24.71	-23:10:19.58
cfbf0142	21:40:18.33	-23:10:36.38
cfbf0143	21:40:25.35	-23:10:17.90
cfbf0144	21:40:17.69	-23:10:38.06
cfbf0145	21:40:25.98	-23:10:16.21
cfbf0146	21:40:26.62	-23:10:14.53
cfbf0147	21:40:22.08	-23:11:08.70
cfbf0148	21:40:22.72	-23:11:07.02
cfbf0149	21:40:21.45	-23:11:10.38
cfbf0150	21:40:23.36	-23:11:05.34
cfbf0151	21:40:20.81	-23:11:12.06
cfbf0152	21:40:24.00	-23:11:03.66
cfbf0153	21:40:20.17	-23:11:13.74
cfbf0154	21:40:24.63	-23:11:01.98
cfbf0155	21:40:19.53	-23:11:15.42
cfbf0156	21:40:25.27	-23:11:00.30
cfbf0157	21:40:18.89	-23:11:17.10
cfbf0158	21:40:25.91	-23:10:58.62
cfbf0159	21:40:18.26	-23:11:18.78
cfbf0160	21:40:26.55	-23:10:56.94
cfbf0161	21:40:17.62	-23:11:20.46
cfbf0162	21:40:21.78	-23:10:23.07
cfbf0163	21:40:21.14	-23:10:24.75
cfbf0164	21:40:22.42	-23:10:21.39
cfbf0165	21:40:20.51	-23:10:26.43
cfbf0166	21:40:23.06	-23:10:19.71
cfbf0167	21:40:19.87	-23:10:28.11
cfbf0168	21:40:23.70	-23:10:18.03
cfbf0169	21:40:19.23	-23:10:29.78
cfbf0170	21:40:24.33	-23:10:16.34
cfbf0171	21:40:18.59	-23:10:31.46
cfbf0172	21:40:24.97	-23:10:14.66
cfbf0173	21:40:17.95	-23:10:33.14
cfbf0174	21:40:25.61	-23:10:12.98
cfbf0175	21:40:26.25	-23:10:11.30
cfbf0176	21:40:22.46	-23:11:11.93
cfbf0177	21:40:21.82	-23:11:13.61
cfbf0178	21:40:23.10	-23:11:10.25
cfbf0179	21:40:21.18	-23:11:15.29
cfbf0180	21:40:23.73	-23:11:08.57
cfbf0181	21:40:20.54	-23:11:16.97
cfbf0182	21:40:24.37	-23:11:06.89
cfbf0183	21:40:19.91	-23:11:18.65
cfbf0184	21:40:25.01	-23:11:05.21
cfbf0185	21:40:19.27	-23:11:20.33
cfbf0186	21:40:25.65	-23:11:03.53
cfbf0187	21:40:18.63	-23:11:22.01
cfbf0188	21:40:26.29	-23:11:01.85
cfbf0189	21:40:17.99	-23:11:23.69
cfbf0190	21:40:21.41	-23:10:19.83
cfbf0191	21:40:22.04	-23:10:18.15
cfbf0192	21:40:20.77	-23:10:21.51
cfbf0193	21:40:22.68	-23:10:16.47
cfbf0194	21:40:20.13	-23:10:23.19
cfbf0195	21:40:23.32	-23:10:14.79
cfbf0196	21:40:19.49	-23:10:24.87
cfbf0197	21:40:23.96	-23:10:13.11
cfbf0198	21:40:18.85	-23:10:26.55
cfbf0199	21:40:24.60	-23:10:11.43
cfbf0200	21:40:18.22	-23:10:28.23
cfbf0201	21:40:25.23	-23:10:09.75
cfbf0202	21:40:17.58	-23:10:29.91
cfbf0203	21:40:25.87	-23:10:08.07
cfbf0204	21:40:22.20	-23:11:16.85
cfbf0205	21:40:22.83	-23:11:15.17
cfbf0206	21:40:21.56	-23:11:18.53
cfbf0207	21:40:23.47	-23:11:13.49
cfbf0208	21:40:20.92	-23:11:20.21
cfbf0209	21:40:24.11	-23:11:11.81
cfbf0210	21:40:20.28	-23:11:21.89
cfbf0211	21:40:24.75	-23:11:10.12
cfbf0212	21:40:19.64	-23:11:23.57
cfbf0213	21:40:25.39	-23:11:08.44
cfbf0214	21:40:19.01	-23:11:25.25
cfbf0215	21:40:26.02	-23:11:06.76
cfbf0216	21:40:18.37	-23:11:26.92
cfbf0217	21:40:26.66	-23:11:05.08
cfbf0218	21:40:21.67	-23:10:14.92
cfbf0219	21:40:21.03	-23:10:16.60
cfbf0220	21:40:22.31	-23:10:13.24
cfbf0221	21:40:20.39	-23:10:18.28
cfbf0222	21:40:22.94	-23:10:11.56
cfbf0223	21:40:19.76	-23:10:19.96
cfbf0224	21:40:23.58	-23:10:09.88
cfbf0225	21:40:19.12	-23:10:21.64
cfbf0226	21:40:24.22	-23:10:08.20
cfbf0227	21:40:18.48	-23:10:23.32
cfbf0228	21:40:24.86	-23:10:06.52
cfbf0229	21:40:17.84	-23:10:25.00
cfbf0230	21:40:25.50	-23:10:04.84
cfbf0231	21:40:22.57	-23:11:20.08
cfbf0232	21:40:21.93	-23:11:21.76
cfbf0233	21:40:23.21	-23:11:18.40
cfbf0234	21:40:21.30	-23:11:23.44
cfbf0235	21:40:23.85	-23:11:16.72
cfbf0236	21:40:20.66	-23:11:25.12
cfbf0237	21:40:24.49	-23:11:15.04
cfbf0238	21:40:20.02	-23:11:26.80
cfbf0239	21:40:25.12	-23:11:13.36
cfbf0240	21:40:19.38	-23:11:28.48
cfbf0241	21:40:25.76	-23:11:11.68
cfbf0242	21:40:18.74	-23:11:30.16
cfbf0243	21:40:26.40	-23:11:09.99
cfbf0244	21:40:21.29	-23:10:11.69
cfbf0245	21:40:21.93	-23:10:10.01
cfbf0246	21:40:20.66	-23:10:13.37
cfbf0247	21:40:22.57	-23:10:08.33
cfbf0248	21:40:20.02	-23:10:15.05
cfbf0249	21:40:23.21	-23:10:06.65
cfbf0250	21:40:19.38	-23:10:16.73
cfbf0251	21:40:23.85	-23:10:04.97
cfbf0252	21:40:18.74	-23:10:18.41
cfbf0253	21:40:24.48	-23:10:03.29
cfbf0254	21:40:18.10	-23:10:20.09
cfbf0255	21:40:25.12	-23:10:01.61
cfbf0256	21:40:22.31	-23:11:24.99
cfbf0257	21:40:22.95	-23:11:23.31
cfbf0258	21:40:21.67	-23:11:26.67
cfbf0259	21:40:23.58	-23:11:21.63
cfbf0260	21:40:21.03	-23:11:28.35
cfbf0261	21:40:24.22	-23:11:19.95
cfbf0262	21:40:20.39	-23:11:30.03
cfbf0263	21:40:24.86	-23:11:18.27
cfbf0264	21:40:19.76	-23:11:31.71
cfbf0265	21:40:25.50	-23:11:16.59
cfbf0266	21:40:19.12	-23:11:33.39
cfbf0267	21:40:26.14	-23:11:14.91
cfbf0268	21:40:21.56	-23:10:06.78
cfbf0269	21:40:20.92	-23:10:08.46
cfbf0270	21:40:22.19	-23:10:05.10
cfbf0271	21:40:20.28	-23:10:10.14
cfbf0272	21:40:22.83	-23:10:03.42
cfbf0273	21:40:19.64	-23:10:11.82
cfbf0274	21:40:23.47	-23:10:01.74
cfbf0275	21:40:19.00	-23:10:13.50
cfbf0276	21:40:24.11	-23:10:00.06
cfbf0277	21:40:18.37	-23:10:15.17
