CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0006219266767480983
Beam_y_deg: 0.00033245424450032264
Beam_angle: -10.812910169516986
Overlap: 0.95
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0143	21:40:22.51	-23:10:40.13
cfbf0144	21:40:21.24	-23:10:43.49
cfbf0145	21:40:22.83	-23:10:39.29
cfbf0146	21:40:20.92	-23:10:44.33
cfbf0147	21:40:23.15	-23:10:38.45
cfbf0148	21:40:20.60	-23:10:45.17
cfbf0149	21:40:23.47	-23:10:37.61
cfbf0150	21:40:20.28	-23:10:46.01
cfbf0151	21:40:23.79	-23:10:36.77
cfbf0152	21:40:19.96	-23:10:46.85
cfbf0153	21:40:24.11	-23:10:35.93
cfbf0154	21:40:19.64	-23:10:47.69
cfbf0155	21:40:24.43	-23:10:35.09
cfbf0156	21:40:19.32	-23:10:48.53
cfbf0157	21:40:24.75	-23:10:34.25
cfbf0158	21:40:19.01	-23:10:49.37
cfbf0159	21:40:25.07	-23:10:33.41
cfbf0160	21:40:18.69	-23:10:50.21
cfbf0161	21:40:25.38	-23:10:32.57
cfbf0162	21:40:18.37	-23:10:51.05
cfbf0163	21:40:25.70	-23:10:31.73
cfbf0164	21:40:18.05	-23:10:51.89
cfbf0165	21:40:26.02	-23:10:30.89
cfbf0166	21:40:17.73	-23:10:52.73
cfbf0167	21:40:26.34	-23:10:30.05
cfbf0168	21:40:22.05	-23:10:54.03
cfbf0169	21:40:22.36	-23:10:53.19
cfbf0170	21:40:21.73	-23:10:54.87
cfbf0171	21:40:22.68	-23:10:52.35
cfbf0172	21:40:21.41	-23:10:55.71
cfbf0173	21:40:23.00	-23:10:51.51
cfbf0174	21:40:21.09	-23:10:56.55
cfbf0175	21:40:23.32	-23:10:50.67
cfbf0176	21:40:20.77	-23:10:57.39
cfbf0177	21:40:23.64	-23:10:49.83
cfbf0178	21:40:20.45	-23:10:58.23
cfbf0179	21:40:23.96	-23:10:48.99
cfbf0180	21:40:20.13	-23:10:59.07
cfbf0181	21:40:24.28	-23:10:48.15
cfbf0182	21:40:19.81	-23:10:59.91
cfbf0183	21:40:24.60	-23:10:47.31
cfbf0184	21:40:19.49	-23:11:00.75
cfbf0185	21:40:24.92	-23:10:46.47
cfbf0186	21:40:19.17	-23:11:01.59
cfbf0187	21:40:25.23	-23:10:45.63
cfbf0188	21:40:18.86	-23:11:02.43
cfbf0189	21:40:25.55	-23:10:44.79
cfbf0190	21:40:18.54	-23:11:03.27
cfbf0191	21:40:25.87	-23:10:43.95
cfbf0192	21:40:18.22	-23:11:04.11
cfbf0193	21:40:26.19	-23:10:43.10
cfbf0194	21:40:17.90	-23:11:04.95
cfbf0195	21:40:26.51	-23:10:42.26
cfbf0196	21:40:22.01	-23:10:39.36
cfbf0197	21:40:21.69	-23:10:40.20
cfbf0198	21:40:22.33	-23:10:38.52
cfbf0199	21:40:21.37	-23:10:41.04
cfbf0200	21:40:22.65	-23:10:37.68
cfbf0201	21:40:21.05	-23:10:41.88
cfbf0202	21:40:22.96	-23:10:36.83
cfbf0203	21:40:20.73	-23:10:42.72
cfbf0204	21:40:23.28	-23:10:35.99
cfbf0205	21:40:20.41	-23:10:43.56
cfbf0206	21:40:23.60	-23:10:35.15
cfbf0207	21:40:20.09	-23:10:44.39
cfbf0208	21:40:23.92	-23:10:34.31
cfbf0209	21:40:19.77	-23:10:45.23
cfbf0210	21:40:24.24	-23:10:33.47
cfbf0211	21:40:19.46	-23:10:46.07
cfbf0212	21:40:24.56	-23:10:32.63
cfbf0213	21:40:19.14	-23:10:46.91
cfbf0214	21:40:24.88	-23:10:31.79
cfbf0215	21:40:18.82	-23:10:47.75
cfbf0216	21:40:25.20	-23:10:30.95
cfbf0217	21:40:18.50	-23:10:48.59
cfbf0218	21:40:25.52	-23:10:30.11
cfbf0219	21:40:18.18	-23:10:49.43
cfbf0220	21:40:25.83	-23:10:29.27
cfbf0221	21:40:17.86	-23:10:50.27
cfbf0222	21:40:26.15	-23:10:28.43
cfbf0223	21:40:26.47	-23:10:27.59
cfbf0224	21:40:22.23	-23:10:55.64
cfbf0225	21:40:21.91	-23:10:56.48
cfbf0226	21:40:22.55	-23:10:54.80
cfbf0227	21:40:21.59	-23:10:57.32
cfbf0228	21:40:22.87	-23:10:53.96
cfbf0229	21:40:21.28	-23:10:58.16
cfbf0230	21:40:23.19	-23:10:53.12
cfbf0231	21:40:20.96	-23:10:59.00
cfbf0232	21:40:23.51	-23:10:52.28
cfbf0233	21:40:20.64	-23:10:59.84
cfbf0234	21:40:23.83	-23:10:51.44
cfbf0235	21:40:20.32	-23:11:00.68
cfbf0236	21:40:24.15	-23:10:50.60
cfbf0237	21:40:20.00	-23:11:01.52
cfbf0238	21:40:24.47	-23:10:49.76
cfbf0239	21:40:19.68	-23:11:02.36
cfbf0240	21:40:24.78	-23:10:48.92
cfbf0241	21:40:19.36	-23:11:03.20
cfbf0242	21:40:25.10	-23:10:48.08
cfbf0243	21:40:19.04	-23:11:04.04
cfbf0244	21:40:25.42	-23:10:47.24
cfbf0245	21:40:18.72	-23:11:04.88
cfbf0246	21:40:25.74	-23:10:46.40
cfbf0247	21:40:18.40	-23:11:05.72
cfbf0248	21:40:26.06	-23:10:45.56
cfbf0249	21:40:18.09	-23:11:06.56
cfbf0250	21:40:26.38	-23:10:44.72
cfbf0251	21:40:17.77	-23:11:07.40
cfbf0252	21:40:21.82	-23:10:37.74
cfbf0253	21:40:22.14	-23:10:36.90
cfbf0254	21:40:21.50	-23:10:38.58
cfbf0255	21:40:22.46	-23:10:36.06
cfbf0256	21:40:21.18	-23:10:39.42
cfbf0257	21:40:22.78	-23:10:35.22
cfbf0258	21:40:20.86	-23:10:40.26
cfbf0259	21:40:23.10	-23:10:34.38
cfbf0260	21:40:20.54	-23:10:41.10
cfbf0261	21:40:23.41	-23:10:33.54
cfbf0262	21:40:20.22	-23:10:41.94
cfbf0263	21:40:23.73	-23:10:32.70
cfbf0264	21:40:19.91	-23:10:42.78
cfbf0265	21:40:24.05	-23:10:31.86
cfbf0266	21:40:19.59	-23:10:43.62
cfbf0267	21:40:24.37	-23:10:31.02
cfbf0268	21:40:19.27	-23:10:44.46
cfbf0269	21:40:24.69	-23:10:30.18
cfbf0270	21:40:18.95	-23:10:45.30
cfbf0271	21:40:25.01	-23:10:29.34
cfbf0272	21:40:18.63	-23:10:46.14
cfbf0273	21:40:25.33	-23:10:28.50
cfbf0274	21:40:18.31	-23:10:46.98
cfbf0275	21:40:25.65	-23:10:27.66
cfbf0276	21:40:17.99	-23:10:47.82
cfbf0277	21:40:25.97	-23:10:26.82
cfbf0278	21:40:26.28	-23:10:25.97
cfbf0279	21:40:22.10	-23:10:58.10
cfbf0280	21:40:22.42	-23:10:57.26
cfbf0281	21:40:21.78	-23:10:58.94
cfbf0282	21:40:22.74	-23:10:56.42
cfbf0283	21:40:21.46	-23:10:59.78
cfbf0284	21:40:23.06	-23:10:55.58
cfbf0285	21:40:21.14	-23:11:00.62
cfbf0286	21:40:23.38	-23:10:54.74
cfbf0287	21:40:20.83	-23:11:01.46
cfbf0288	21:40:23.70	-23:10:53.90
cfbf0289	21:40:20.51	-23:11:02.30
cfbf0290	21:40:24.02	-23:10:53.06
cfbf0291	21:40:20.19	-23:11:03.14
cfbf0292	21:40:24.33	-23:10:52.22
cfbf0293	21:40:19.87	-23:11:03.98
cfbf0294	21:40:24.65	-23:10:51.38
cfbf0295	21:40:19.55	-23:11:04.82
cfbf0296	21:40:24.97	-23:10:50.54
cfbf0297	21:40:19.23	-23:11:05.66
cfbf0298	21:40:25.29	-23:10:49.70
cfbf0299	21:40:18.91	-23:11:06.50
cfbf0300	21:40:25.61	-23:10:48.86
cfbf0301	21:40:18.59	-23:11:07.34
cfbf0302	21:40:25.93	-23:10:48.02
cfbf0303	21:40:18.27	-23:11:08.18
cfbf0304	21:40:26.25	-23:10:47.18
cfbf0305	21:40:17.95	-23:11:09.02
cfbf0306	21:40:21.95	-23:10:35.28
cfbf0307	21:40:21.63	-23:10:36.12
cfbf0308	21:40:22.27	-23:10:34.44
cfbf0309	21:40:21.31	-23:10:36.96
cfbf0310	21:40:22.59	-23:10:33.60
cfbf0311	21:40:20.99	-23:10:37.80
cfbf0312	21:40:22.91	-23:10:32.76
cfbf0313	21:40:20.67	-23:10:38.64
cfbf0314	21:40:23.23	-23:10:31.92
cfbf0315	21:40:20.36	-23:10:39.48
cfbf0316	21:40:23.55	-23:10:31.08
cfbf0317	21:40:20.04	-23:10:40.32
cfbf0318	21:40:23.86	-23:10:30.24
cfbf0319	21:40:19.72	-23:10:41.16
cfbf0320	21:40:24.18	-23:10:29.40
cfbf0321	21:40:19.40	-23:10:42.00
cfbf0322	21:40:24.50	-23:10:28.56
cfbf0323	21:40:19.08	-23:10:42.84
cfbf0324	21:40:24.82	-23:10:27.72
cfbf0325	21:40:18.76	-23:10:43.68
cfbf0326	21:40:25.14	-23:10:26.88
cfbf0327	21:40:18.44	-23:10:44.52
cfbf0328	21:40:25.46	-23:10:26.04
cfbf0329	21:40:18.12	-23:10:45.36
cfbf0330	21:40:25.78	-23:10:25.20
cfbf0331	21:40:17.80	-23:10:46.20
cfbf0332	21:40:26.10	-23:10:24.36
cfbf0333	21:40:26.42	-23:10:23.52
cfbf0334	21:40:22.29	-23:10:59.72
cfbf0335	21:40:21.97	-23:11:00.56
cfbf0336	21:40:22.61	-23:10:58.88
cfbf0337	21:40:21.65	-23:11:01.40
cfbf0338	21:40:22.93	-23:10:58.04
cfbf0339	21:40:21.33	-23:11:02.24
cfbf0340	21:40:23.25	-23:10:57.20
cfbf0341	21:40:21.01	-23:11:03.08
cfbf0342	21:40:23.57	-23:10:56.36
cfbf0343	21:40:20.69	-23:11:03.92
cfbf0344	21:40:23.88	-23:10:55.52
cfbf0345	21:40:20.38	-23:11:04.76
cfbf0346	21:40:24.20	-23:10:54.68
cfbf0347	21:40:20.06	-23:11:05.60
cfbf0348	21:40:24.52	-23:10:53.84
cfbf0349	21:40:19.74	-23:11:06.44
cfbf0350	21:40:24.84	-23:10:53.00
cfbf0351	21:40:19.42	-23:11:07.28
cfbf0352	21:40:25.16	-23:10:52.15
cfbf0353	21:40:19.10	-23:11:08.12
cfbf0354	21:40:25.48	-23:10:51.31
cfbf0355	21:40:18.78	-23:11:08.96
cfbf0356	21:40:25.80	-23:10:50.47
cfbf0357	21:40:18.46	-23:11:09.80
cfbf0358	21:40:26.12	-23:10:49.63
cfbf0359	21:40:18.14	-23:11:10.63
cfbf0360	21:40:26.44	-23:10:48.79
cfbf0361	21:40:17.82	-23:11:11.47
cfbf0362	21:40:21.76	-23:10:33.67
cfbf0363	21:40:22.08	-23:10:32.83
cfbf0364	21:40:21.44	-23:10:34.51
cfbf0365	21:40:22.40	-23:10:31.99
cfbf0366	21:40:21.13	-23:10:35.35
cfbf0367	21:40:22.72	-23:10:31.15
cfbf0368	21:40:20.81	-23:10:36.19
cfbf0369	21:40:23.04	-23:10:30.31
cfbf0370	21:40:20.49	-23:10:37.03
cfbf0371	21:40:23.36	-23:10:29.47
cfbf0372	21:40:20.17	-23:10:37.87
cfbf0373	21:40:23.68	-23:10:28.63
cfbf0374	21:40:19.85	-23:10:38.71
cfbf0375	21:40:24.00	-23:10:27.79
cfbf0376	21:40:19.53	-23:10:39.55
cfbf0377	21:40:24.31	-23:10:26.95
cfbf0378	21:40:19.21	-23:10:40.39
cfbf0379	21:40:24.63	-23:10:26.11
cfbf0380	21:40:18.89	-23:10:41.23
cfbf0381	21:40:24.95	-23:10:25.26
cfbf0382	21:40:18.57	-23:10:42.06
cfbf0383	21:40:25.27	-23:10:24.42
cfbf0384	21:40:18.25	-23:10:42.90
cfbf0385	21:40:25.59	-23:10:23.58
cfbf0386	21:40:17.94	-23:10:43.74
cfbf0387	21:40:25.91	-23:10:22.74
cfbf0388	21:40:26.23	-23:10:21.90
cfbf0389	21:40:26.55	-23:10:21.06
cfbf0390	21:40:22.16	-23:11:02.17
cfbf0391	21:40:22.48	-23:11:01.33
cfbf0392	21:40:21.84	-23:11:03.01
cfbf0393	21:40:22.80	-23:11:00.49
cfbf0394	21:40:21.52	-23:11:03.85
cfbf0395	21:40:23.11	-23:10:59.65
cfbf0396	21:40:21.20	-23:11:04.69
cfbf0397	21:40:23.43	-23:10:58.81
cfbf0398	21:40:20.88	-23:11:05.53
cfbf0399	21:40:23.75	-23:10:57.97
cfbf0400	21:40:20.56	-23:11:06.37
cfbf0401	21:40:24.07	-23:10:57.13
cfbf0402	21:40:20.24	-23:11:07.21
cfbf0403	21:40:24.39	-23:10:56.29
cfbf0404	21:40:19.93	-23:11:08.05
cfbf0405	21:40:24.71	-23:10:55.45
cfbf0406	21:40:19.61	-23:11:08.89
cfbf0407	21:40:25.03	-23:10:54.61
cfbf0408	21:40:19.29	-23:11:09.73
cfbf0409	21:40:25.35	-23:10:53.77
cfbf0410	21:40:18.97	-23:11:10.57
cfbf0411	21:40:25.67	-23:10:52.93
cfbf0412	21:40:18.65	-23:11:11.41
cfbf0413	21:40:25.99	-23:10:52.09
cfbf0414	21:40:18.33	-23:11:12.25
cfbf0415	21:40:26.30	-23:10:51.25
cfbf0416	21:40:18.01	-23:11:13.09
cfbf0417	21:40:17.69	-23:11:13.93
cfbf0418	21:40:21.89	-23:10:31.21
cfbf0419	21:40:21.58	-23:10:32.05
cfbf0420	21:40:22.21	-23:10:30.37
cfbf0421	21:40:21.26	-23:10:32.89
cfbf0422	21:40:22.53	-23:10:29.53
cfbf0423	21:40:20.94	-23:10:33.73
cfbf0424	21:40:22.85	-23:10:28.69
cfbf0425	21:40:20.62	-23:10:34.57
cfbf0426	21:40:23.17	-23:10:27.85
cfbf0427	21:40:20.30	-23:10:35.41
cfbf0428	21:40:23.49	-23:10:27.01
cfbf0429	21:40:19.98	-23:10:36.25
cfbf0430	21:40:23.81	-23:10:26.17
cfbf0431	21:40:19.66	-23:10:37.09
cfbf0432	21:40:24.13	-23:10:25.33
cfbf0433	21:40:19.34	-23:10:37.93
cfbf0434	21:40:24.45	-23:10:24.49
cfbf0435	21:40:19.02	-23:10:38.77
cfbf0436	21:40:24.77	-23:10:23.65
cfbf0437	21:40:18.70	-23:10:39.61
cfbf0438	21:40:25.08	-23:10:22.81
cfbf0439	21:40:18.39	-23:10:40.45
cfbf0440	21:40:25.40	-23:10:21.97
cfbf0441	21:40:18.07	-23:10:41.29
cfbf0442	21:40:25.72	-23:10:21.13
cfbf0443	21:40:17.75	-23:10:42.13
cfbf0444	21:40:26.04	-23:10:20.29
cfbf0445	21:40:26.36	-23:10:19.45
cfbf0446	21:40:22.35	-23:11:03.79
cfbf0447	21:40:22.03	-23:11:04.63
cfbf0448	21:40:22.66	-23:11:02.95
cfbf0449	21:40:21.71	-23:11:05.47
cfbf0450	21:40:22.98	-23:11:02.11
cfbf0451	21:40:21.39	-23:11:06.31
cfbf0452	21:40:23.30	-23:11:01.27
cfbf0453	21:40:21.07	-23:11:07.15
cfbf0454	21:40:23.62	-23:11:00.43
cfbf0455	21:40:20.75	-23:11:07.99
cfbf0456	21:40:23.94	-23:10:59.59
cfbf0457	21:40:20.43	-23:11:08.83
cfbf0458	21:40:24.26	-23:10:58.75
cfbf0459	21:40:20.11	-23:11:09.67
cfbf0460	21:40:24.58	-23:10:57.91
cfbf0461	21:40:19.79	-23:11:10.51
cfbf0462	21:40:24.90	-23:10:57.07
cfbf0463	21:40:19.47	-23:11:11.35
cfbf0464	21:40:25.22	-23:10:56.23
cfbf0465	21:40:19.16	-23:11:12.19
cfbf0466	21:40:25.54	-23:10:55.39
cfbf0467	21:40:18.84	-23:11:13.03
cfbf0468	21:40:25.85	-23:10:54.55
cfbf0469	21:40:18.52	-23:11:13.87
cfbf0470	21:40:26.17	-23:10:53.71
cfbf0471	21:40:18.20	-23:11:14.71
cfbf0472	21:40:26.49	-23:10:52.86
cfbf0473	21:40:17.88	-23:11:15.55
cfbf0474	21:40:21.71	-23:10:29.59
cfbf0475	21:40:22.03	-23:10:28.75
cfbf0476	21:40:21.39	-23:10:30.43
cfbf0477	21:40:22.34	-23:10:27.91
cfbf0478	21:40:21.07	-23:10:31.27
cfbf0479	21:40:22.66	-23:10:27.07
cfbf0480	21:40:20.75	-23:10:32.11
cfbf0481	21:40:22.98	-23:10:26.23
cfbf0482	21:40:20.43	-23:10:32.95
cfbf0483	21:40:23.30	-23:10:25.39
cfbf0484	21:40:20.11	-23:10:33.79
cfbf0485	21:40:23.62	-23:10:24.55
cfbf0486	21:40:19.79	-23:10:34.63
cfbf0487	21:40:23.94	-23:10:23.71
cfbf0488	21:40:19.47	-23:10:35.47
cfbf0489	21:40:24.26	-23:10:22.87
cfbf0490	21:40:19.15	-23:10:36.31
cfbf0491	21:40:24.58	-23:10:22.03
cfbf0492	21:40:18.84	-23:10:37.15
cfbf0493	21:40:24.90	-23:10:21.19
cfbf0494	21:40:18.52	-23:10:37.99
cfbf0495	21:40:25.22	-23:10:20.35
cfbf0496	21:40:18.20	-23:10:38.83
cfbf0497	21:40:25.53	-23:10:19.51
cfbf0498	21:40:17.88	-23:10:39.67
cfbf0499	21:40:25.85	-23:10:18.67
cfbf0500	21:40:26.17	-23:10:17.83
cfbf0501	21:40:26.49	-23:10:16.99
cfbf0502	21:40:22.21	-23:11:06.25
cfbf0503	21:40:22.53	-23:11:05.41
cfbf0504	21:40:21.90	-23:11:07.09
cfbf0505	21:40:22.85	-23:11:04.57
cfbf0506	21:40:21.58	-23:11:07.93
cfbf0507	21:40:23.17	-23:11:03.73
cfbf0508	21:40:21.26	-23:11:08.77
cfbf0509	21:40:23.49	-23:11:02.88
cfbf0510	21:40:20.94	-23:11:09.61
cfbf0511	21:40:23.81	-23:11:02.04
cfbf0512	21:40:20.62	-23:11:10.45
cfbf0513	21:40:24.13	-23:11:01.20
cfbf0514	21:40:20.30	-23:11:11.29
cfbf0515	21:40:24.45	-23:11:00.36
cfbf0516	21:40:19.98	-23:11:12.13
cfbf0517	21:40:24.77	-23:10:59.52
cfbf0518	21:40:19.66	-23:11:12.96
cfbf0519	21:40:25.09	-23:10:58.68
cfbf0520	21:40:19.34	-23:11:13.80
cfbf0521	21:40:25.40	-23:10:57.84
cfbf0522	21:40:19.02	-23:11:14.64
cfbf0523	21:40:25.72	-23:10:57.00
cfbf0524	21:40:18.71	-23:11:15.48
cfbf0525	21:40:26.04	-23:10:56.16
cfbf0526	21:40:18.39	-23:11:16.32
cfbf0527	21:40:26.36	-23:10:55.32
cfbf0528	21:40:18.07	-23:11:17.16
cfbf0529	21:40:17.75	-23:11:18.00
cfbf0530	21:40:21.84	-23:10:27.14
cfbf0531	21:40:21.52	-23:10:27.98
cfbf0532	21:40:22.16	-23:10:26.30
cfbf0533	21:40:21.20	-23:10:28.82
cfbf0534	21:40:22.48	-23:10:25.46
cfbf0535	21:40:20.88	-23:10:29.66
cfbf0536	21:40:22.79	-23:10:24.62
cfbf0537	21:40:20.56	-23:10:30.50
cfbf0538	21:40:23.11	-23:10:23.78
cfbf0539	21:40:20.24	-23:10:31.34
cfbf0540	21:40:23.43	-23:10:22.94
cfbf0541	21:40:19.92	-23:10:32.18
cfbf0542	21:40:23.75	-23:10:22.10
cfbf0543	21:40:19.61	-23:10:33.02
cfbf0544	21:40:24.07	-23:10:21.26
cfbf0545	21:40:19.29	-23:10:33.86
cfbf0546	21:40:24.39	-23:10:20.42
cfbf0547	21:40:18.97	-23:10:34.70
cfbf0548	21:40:24.71	-23:10:19.58
cfbf0549	21:40:18.65	-23:10:35.54
cfbf0550	21:40:25.03	-23:10:18.74
cfbf0551	21:40:18.33	-23:10:36.38
cfbf0552	21:40:25.35	-23:10:17.90
cfbf0553	21:40:18.01	-23:10:37.22
cfbf0554	21:40:25.67	-23:10:17.06
cfbf0555	21:40:17.69	-23:10:38.06
cfbf0556	21:40:25.98	-23:10:16.21
cfbf0557	21:40:26.30	-23:10:15.37
cfbf0558	21:40:22.40	-23:11:07.86
cfbf0559	21:40:22.08	-23:11:08.70
cfbf0560	21:40:22.72	-23:11:07.02
cfbf0561	21:40:21.76	-23:11:09.54
cfbf0562	21:40:23.04	-23:11:06.18
cfbf0563	21:40:21.45	-23:11:10.38
cfbf0564	21:40:23.36	-23:11:05.34
cfbf0565	21:40:21.13	-23:11:11.22
cfbf0566	21:40:23.68	-23:11:04.50
cfbf0567	21:40:20.81	-23:11:12.06
cfbf0568	21:40:24.00	-23:11:03.66
cfbf0569	21:40:20.49	-23:11:12.90
