CLUSTER: M30
BAND: LBAND
Central_freq: 1284000000.0
Boresight: 21:40:22.12  -23:10:47.5
Beam_x_deg: 0.0006219266767480983
Beam_y_deg: 0.00033245424450032264
Beam_angle: -10.812910169516986
Overlap: 0.95
DATE: 2023-05-15 23:43:00
PROJECT: COMPACT

Beam	RA	DEC
cfbf0001	21:40:22.12	-23:10:47.50
cfbf0002	21:40:21.80	-23:10:48.34
cfbf0003	21:40:22.44	-23:10:46.66
cfbf0004	21:40:21.48	-23:10:49.18
cfbf0005	21:40:22.76	-23:10:45.82
cfbf0006	21:40:21.16	-23:10:50.02
cfbf0007	21:40:23.08	-23:10:44.98
cfbf0008	21:40:20.84	-23:10:50.86
cfbf0009	21:40:23.40	-23:10:44.14
cfbf0010	21:40:20.53	-23:10:51.70
cfbf0011	21:40:23.71	-23:10:43.30
cfbf0012	21:40:20.21	-23:10:52.54
cfbf0013	21:40:24.03	-23:10:42.46
cfbf0014	21:40:19.89	-23:10:53.38
cfbf0015	21:40:24.35	-23:10:41.62
cfbf0016	21:40:19.57	-23:10:54.22
cfbf0017	21:40:24.67	-23:10:40.78
cfbf0018	21:40:19.25	-23:10:55.06
cfbf0019	21:40:24.99	-23:10:39.94
cfbf0020	21:40:18.93	-23:10:55.90
cfbf0021	21:40:25.31	-23:10:39.10
cfbf0022	21:40:18.61	-23:10:56.74
cfbf0023	21:40:25.63	-23:10:38.26
cfbf0024	21:40:18.29	-23:10:57.58
cfbf0025	21:40:25.95	-23:10:37.42
cfbf0026	21:40:17.97	-23:10:58.42
cfbf0027	21:40:26.27	-23:10:36.58
cfbf0028	21:40:21.93	-23:10:45.88
cfbf0029	21:40:22.25	-23:10:45.04
cfbf0030	21:40:21.61	-23:10:46.72
cfbf0031	21:40:22.57	-23:10:44.20
cfbf0032	21:40:21.29	-23:10:47.56
cfbf0033	21:40:22.89	-23:10:43.36
cfbf0034	21:40:20.98	-23:10:48.40
cfbf0035	21:40:23.21	-23:10:42.52
cfbf0036	21:40:20.66	-23:10:49.24
cfbf0037	21:40:23.53	-23:10:41.68
cfbf0038	21:40:20.34	-23:10:50.08
cfbf0039	21:40:23.85	-23:10:40.84
cfbf0040	21:40:20.02	-23:10:50.92
cfbf0041	21:40:24.17	-23:10:40.00
cfbf0042	21:40:19.70	-23:10:51.76
cfbf0043	21:40:24.48	-23:10:39.16
cfbf0044	21:40:19.38	-23:10:52.60
cfbf0045	21:40:24.80	-23:10:38.32
cfbf0046	21:40:19.06	-23:10:53.44
cfbf0047	21:40:25.12	-23:10:37.48
cfbf0048	21:40:18.74	-23:10:54.28
cfbf0049	21:40:25.44	-23:10:36.64
cfbf0050	21:40:18.42	-23:10:55.12
cfbf0051	21:40:25.76	-23:10:35.80
cfbf0052	21:40:18.10	-23:10:55.96
cfbf0053	21:40:26.08	-23:10:34.96
cfbf0054	21:40:17.79	-23:10:56.80
cfbf0055	21:40:26.40	-23:10:34.12
cfbf0056	21:40:21.99	-23:10:49.96
cfbf0057	21:40:22.31	-23:10:49.12
cfbf0058	21:40:21.67	-23:10:50.80
cfbf0059	21:40:22.63	-23:10:48.28
cfbf0060	21:40:21.35	-23:10:51.64
cfbf0061	21:40:22.95	-23:10:47.44
cfbf0062	21:40:21.03	-23:10:52.48
cfbf0063	21:40:23.26	-23:10:46.60
cfbf0064	21:40:20.71	-23:10:53.32
cfbf0065	21:40:23.58	-23:10:45.76
cfbf0066	21:40:20.39	-23:10:54.16
cfbf0067	21:40:23.90	-23:10:44.92
cfbf0068	21:40:20.07	-23:10:55.00
cfbf0069	21:40:24.22	-23:10:44.07
cfbf0070	21:40:19.76	-23:10:55.84
cfbf0071	21:40:24.54	-23:10:43.23
cfbf0072	21:40:19.44	-23:10:56.68
cfbf0073	21:40:24.86	-23:10:42.39
cfbf0074	21:40:19.12	-23:10:57.51
cfbf0075	21:40:25.18	-23:10:41.55
cfbf0076	21:40:18.80	-23:10:58.35
cfbf0077	21:40:25.50	-23:10:40.71
cfbf0078	21:40:18.48	-23:10:59.19
cfbf0079	21:40:25.82	-23:10:39.87
cfbf0080	21:40:18.16	-23:11:00.03
cfbf0081	21:40:26.14	-23:10:39.03
cfbf0082	21:40:17.84	-23:11:00.87
cfbf0083	21:40:26.45	-23:10:38.19
cfbf0084	21:40:22.06	-23:10:43.43
cfbf0085	21:40:21.74	-23:10:44.27
cfbf0086	21:40:22.38	-23:10:42.59
cfbf0087	21:40:21.43	-23:10:45.11
cfbf0088	21:40:22.70	-23:10:41.75
cfbf0089	21:40:21.11	-23:10:45.95
cfbf0090	21:40:23.02	-23:10:40.91
cfbf0091	21:40:20.79	-23:10:46.79
cfbf0092	21:40:23.34	-23:10:40.07
cfbf0093	21:40:20.47	-23:10:47.63
cfbf0094	21:40:23.66	-23:10:39.23
cfbf0095	21:40:20.15	-23:10:48.47
cfbf0096	21:40:23.98	-23:10:38.39
cfbf0097	21:40:19.83	-23:10:49.31
cfbf0098	21:40:24.30	-23:10:37.55
cfbf0099	21:40:19.51	-23:10:50.15
cfbf0100	21:40:24.62	-23:10:36.71
cfbf0101	21:40:19.19	-23:10:50.99
cfbf0102	21:40:24.93	-23:10:35.87
cfbf0103	21:40:18.87	-23:10:51.83
cfbf0104	21:40:25.25	-23:10:35.03
cfbf0105	21:40:18.55	-23:10:52.67
cfbf0106	21:40:25.57	-23:10:34.18
cfbf0107	21:40:18.24	-23:10:53.51
cfbf0108	21:40:25.89	-23:10:33.34
cfbf0109	21:40:17.92	-23:10:54.34
cfbf0110	21:40:26.21	-23:10:32.50
cfbf0111	21:40:26.53	-23:10:31.66
cfbf0112	21:40:22.18	-23:10:51.57
cfbf0113	21:40:21.86	-23:10:52.41
cfbf0114	21:40:22.50	-23:10:50.73
cfbf0115	21:40:21.54	-23:10:53.25
cfbf0116	21:40:22.81	-23:10:49.89
cfbf0117	21:40:21.22	-23:10:54.09
cfbf0118	21:40:23.13	-23:10:49.05
cfbf0119	21:40:20.90	-23:10:54.93
cfbf0120	21:40:23.45	-23:10:48.21
cfbf0121	21:40:20.58	-23:10:55.77
cfbf0122	21:40:23.77	-23:10:47.37
cfbf0123	21:40:20.26	-23:10:56.61
cfbf0124	21:40:24.09	-23:10:46.53
cfbf0125	21:40:19.94	-23:10:57.45
cfbf0126	21:40:24.41	-23:10:45.69
cfbf0127	21:40:19.62	-23:10:58.29
cfbf0128	21:40:24.73	-23:10:44.85
cfbf0129	21:40:19.31	-23:10:59.13
cfbf0130	21:40:25.05	-23:10:44.01
cfbf0131	21:40:18.99	-23:10:59.97
cfbf0132	21:40:25.37	-23:10:43.17
cfbf0133	21:40:18.67	-23:11:00.81
cfbf0134	21:40:25.69	-23:10:42.33
cfbf0135	21:40:18.35	-23:11:01.65
cfbf0136	21:40:26.00	-23:10:41.49
cfbf0137	21:40:18.03	-23:11:02.49
cfbf0138	21:40:26.32	-23:10:40.65
cfbf0139	21:40:17.71	-23:11:03.33
cfbf0140	21:40:21.88	-23:10:41.81
cfbf0141	21:40:22.19	-23:10:40.97
cfbf0142	21:40:21.56	-23:10:42.65
