cluster,band,central_frequency,boresight_position,beam_x_deg,beam_y_deg,beam_angle,date,nantennas_requested,overlap,region,beams_required
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0019185202507323253,0.0007774118001534557,-12.576818429730869,2023-05-15 23:43:00,52,0.95,core,1
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0006304214788877558,0.0003230658997410898,-23.190374343543574,2023-05-15 23:43:00,40,0.99,core,9
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0031521073944388057,0.0016153294987054638,-23.190374343543574,2023-05-15 23:43:00,40,0.95,half_light,79
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.006304214788877618,0.0032306589974109316,-23.190374343543574,2023-05-15 23:43:00,40,0.9,half_light,25
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.006304214788877618,0.0032306589974109316,-23.190374343543574,2023-05-15 23:43:00,40,0.9,gbt,325
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.013900097572933348,0.007108086204211547,-23.556476449761103,2023-05-15 23:43:00,40,0.6,gbt,69
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.016221893631686187,0.008281399793453438,-23.743247918761433,2023-05-15 23:43:00,40,0.5,gbt,57
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.003837040501464655,0.0015548236003069132,-12.576818429730869,2023-05-15 23:43:00,52,0.9,core,1
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.006304214788877618,0.0032306589974109316,-23.190374343543574,2023-05-15 23:43:00,40,0.9,core,1
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0031521073944388057,0.0016153294987054638,-23.190374343543574,2023-05-15 23:43:00,40,0.95,core,1
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.00917849878196559,0.004702498016980613,-23.34974705658832,2023-05-15 23:43:00,40,0.8,gbt,149
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.005789338971413387,0.0023264884318576914,-14.032975073769611,2023-05-15 23:43:00,52,0.8,gbt,479
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.003837040501464655,0.0015548236003069132,-12.576818429730869,2023-05-15 23:43:00,52,0.9,gbt,1049
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0035495578679717666,0.001862560325213241,-14.339882611430097,2023-05-15 23:43:00,56,0.8,gbt,949
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.002565509615125608,0.0012757800503935884,-11.34295930319551,2023-05-15 23:43:00,60,0.8,gbt,1949
M30,LBAND,1284000000.0,21:40:22.12 -23:10:47.5,0.0016146369205091967,0.0008345301917729432,-8.706874305917346,2023-05-15 23:43:00,60,0.9,gbt,4797
